neighbourhood_group,price
Bronx,40
Bronx,45
Bronx,90
Bronx,105
Bronx,90
Bronx,77
Bronx,37
Bronx,125
Bronx,50
Bronx,50
Bronx,42
Bronx,50
Bronx,120
Bronx,49
Bronx,100
Bronx,35
Bronx,45
Bronx,250
Bronx,39
Bronx,49
Bronx,38
Bronx,60
Bronx,60
Bronx,30
Bronx,84
Bronx,85
Bronx,65
Bronx,60
Bronx,90
Bronx,60
Bronx,50
Bronx,45
Bronx,43
Bronx,75
Bronx,195
Bronx,120
Bronx,140
Bronx,53
Bronx,80
Bronx,65
Bronx,75
Bronx,250
Bronx,32
Bronx,50
Bronx,70
Bronx,41
Bronx,80
Bronx,40
Bronx,71
Bronx,55
Bronx,120
Bronx,44
Bronx,50
Bronx,95
Bronx,75
Bronx,75
Bronx,49
Bronx,47
Bronx,55
Bronx,79
Bronx,105
Bronx,87
Bronx,50
Bronx,40
Bronx,55
Bronx,53
Bronx,95
Bronx,100
Bronx,45
Bronx,155
Bronx,75
Bronx,50
Bronx,47
Bronx,90
Bronx,75
Bronx,68
Bronx,51
Bronx,110
Bronx,45
Bronx,37
Bronx,49
Bronx,105
Bronx,57
Bronx,47
Bronx,25
Bronx,55
Bronx,85
Bronx,145
Bronx,60
Bronx,110
Bronx,43
Bronx,40
Bronx,155
Bronx,250
Bronx,50
Bronx,450
Bronx,38
Bronx,57
Bronx,150
Bronx,42
Bronx,30
Bronx,45
Bronx,80
Bronx,63
Bronx,65
Bronx,110
Bronx,56
Bronx,125
Bronx,119
Bronx,105
Bronx,65
Bronx,115
Bronx,680
Bronx,99
Bronx,33
Bronx,159
Bronx,100
Bronx,50
Bronx,75
Bronx,120
Bronx,40
Bronx,40
Bronx,110
Bronx,95
Bronx,40
Bronx,37
Bronx,59
Bronx,62
Bronx,45
Bronx,90
Bronx,107
Bronx,325
Bronx,79
Bronx,65
Bronx,63
Bronx,150
Bronx,65
Bronx,59
Bronx,28
Bronx,100
Bronx,225
Bronx,65
Bronx,33
Bronx,60
Bronx,38
Bronx,95
Bronx,110
Bronx,47
Bronx,159
Bronx,75
Bronx,139
Bronx,65
Bronx,189
Bronx,70
Bronx,85
Bronx,34
Bronx,85
Bronx,87
Bronx,64
Bronx,51
Bronx,80
Bronx,35
Bronx,37
Bronx,88
Bronx,85
Bronx,70
Bronx,35
Bronx,109
Bronx,99
Bronx,95
Bronx,90
Bronx,85
Bronx,89
Bronx,100
Bronx,45
Bronx,40
Bronx,79
Bronx,49
Bronx,35
Bronx,150
Bronx,95
Bronx,45
Bronx,110
Bronx,60
Bronx,80
Bronx,26
Bronx,150
Bronx,500
Bronx,125
Bronx,60
Bronx,55
Bronx,60
Bronx,59
Bronx,450
Bronx,75
Bronx,85
Bronx,104
Bronx,99
Bronx,40
Bronx,75
Bronx,175
Bronx,49
Bronx,51
Bronx,34
Bronx,130
Bronx,57
Bronx,67
Bronx,68
Bronx,95
Bronx,500
Bronx,139
Bronx,49
Bronx,41
Bronx,41
Bronx,89
Bronx,40
Bronx,75
Bronx,110
Bronx,33
Bronx,45
Bronx,99
Bronx,30
Bronx,350
